"MaximumInscribedSphereRadius","TCoords:0","TCoords:1","Curvature","Torsion","FrenetTangent:0","FrenetTangent:1","FrenetTangent:2","FrenetNormal:0","FrenetNormal:1","FrenetNormal:2","FrenetBinormal:0","FrenetBinormal:1","FrenetBinormal:2","Points:0","Points:1","Points:2"
0,0,0,0,0,0.14007,-0.12731,-0.98192,0.96489,0.24008,0.10652,0.22218,-0.96237,0.15647,-14.656,-67.43,-539.15
1.3575,0.0067114,0,0.00077498,0,0.14007,-0.12731,-0.98192,0.96489,0.24008,0.10652,0.22218,-0.96237,0.15647,-14.637,-67.447,-539.28
2.7006,0.013423,0,0.0017935,0.19611,0.14031,-0.12733,-0.98189,0.98028,-0.12154,0.15585,-0.13918,-0.98439,0.10776,-14.599,-67.481,-539.54
2.7006,0.020134,0,0.00019737,-31.82,0.14056,-0.12735,-0.98185,0.89316,0.44422,0.070252,0.42721,-0.88682,0.17618,-14.569,-67.508,-539.76
2.7006,0.026846,0,0.0026128,-0.17484,0.14033,-0.1273,-0.98189,-0.97511,0.15417,-0.15935,0.17166,0.97981,-0.10249,-14.543,-67.532,-539.94
2.701,0.033557,0,0.00089801,-1.4292,0.14001,-0.12725,-0.98194,-0.98439,0.088957,-0.15188,0.10668,0.98787,-0.11281,-14.516,-67.557,-540.13
2.7013,0.040268,0,0.00092366,-1.7002,0.14,-0.12729,-0.98194,0.87396,-0.45025,0.18297,-0.46541,-0.88378,0.048207,-14.487,-67.583,-540.33
2.7015,0.04698,0,0.00064994,-1.4492,0.14015,-0.12733,-0.98191,0.99013,0.015346,0.13933,-0.0026719,-0.99174,0.12822,-14.459,-67.609,-540.53
2.7017,0.053691,0,6.2752e-05,13.977,0.14021,-0.12733,-0.9819,0.48882,-0.85351,0.18049,-0.86104,-0.50528,-0.057432,-14.431,-67.634,-540.73
2.7018,0.060403,0,0.00036497,-1.242,0.14025,-0.12735,-0.98189,0.89984,-0.39733,0.18006,-0.41307,-0.9088,0.05887,-14.403,-67.66,-540.92
2.7019,0.067114,0,0.00044322,-1.5736,0.14033,-0.12737,-0.98188,0.98554,-0.07711,0.15085,-0.094927,-0.98885,0.11471,-14.374,-67.685,-541.12
2.702,0.073826,0,0.00033555,-3.2009,0.14034,-0.12735,-0.98188,-0.82028,0.54041,-0.18734,0.55447,0.83171,-0.028624,-14.346,-67.711,-541.32
2.7021,0.080537,0,0.00021918,0.072076,0.1403,-0.12735,-0.98188,-0.55977,-0.82819,0.027433,-0.81668,0.54578,-0.18749,-14.318,-67.736,-541.51
2.7023,0.087248,0,0.00034189,2.0541,0.14026,-0.12735,-0.98189,-0.81366,0.55024,-0.1876,0.56416,0.82524,-0.026445,-14.29,-67.762,-541.71
2.7024,0.09396,0,0.00012054,7.3329,0.14025,-0.12734,-0.98189,0.98843,-0.039864,0.14635,-0.057778,-0.99106,0.12027,-14.262,-67.787,-541.91
2.7025,0.10067,0,0.00036164,0.89934,0.14029,-0.12735,-0.98189,0.83397,-0.51933,0.18652,-0.53367,-0.84503,0.033354,-14.234,-67.813,-542.11
2.7024,0.10738,0,0.00014412,3.0864,0.14031,-0.12737,-0.98188,-0.98891,0.030819,-0.14531,0.048769,0.99138,-0.12164,-14.205,-67.838,-542.3
2.7022,0.11409,0,2.3437e-05,-0.75449,0.14029,-0.12737,-0.98188,-0.99011,-0.018047,-0.13912,-3.3998e-12,0.99169,-0.12864,-14.177,-67.864,-542.5
2.702,0.12081,0,2.3437e-05,19.96,0.14028,-0.12737,-0.98188,-0.99011,-0.018047,-0.13912,-5.8219e-13,0.99169,-0.12864,-14.149,-67.89,-542.7
2.7018,0.12752,0,0.00018971,0.91396,0.14028,-0.12735,-0.98189,0.14016,0.98426,-0.10764,0.98014,-0.12252,0.15593,-14.121,-67.915,-542.89
2.7017,0.13423,0,0.00018886,0.92217,0.14029,-0.12735,-0.98189,0.10496,-0.98419,0.14265,-0.98453,-0.12307,-0.12471,-14.093,-67.941,-543.09
2.7016,0.14094,0,0.00019276,-0.59017,0.14029,-0.12735,-0.98189,-0.22322,0.96209,-0.15668,0.96462,0.24116,0.10654,-14.065,-67.966,-543.29
2.7016,0.14765,0,0.00018971,-1.5233,0.14028,-0.12735,-0.98189,-0.14016,-0.98426,0.10764,-0.98014,0.12252,-0.15592,-14.036,-67.992,-543.49
2.7016,0.15436,0,0.00020175,2.963,0.14028,-0.12735,-0.98189,0.36183,0.9297,-0.068889,0.92163,-0.34561,0.1765,-14.008,-68.017,-543.68
2.7017,0.16107,0,0.00040717,-2.2485,0.14031,-0.12737,-0.98188,0.38232,-0.90781,0.1724,-0.91332,-0.39958,-0.078676,-13.98,-68.043,-543.88
